"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000182912"	"0.708097165991903"	"1.2646551661085e-06"	"5.08855562896802e-05"
"ENSG00000183146"	"0.410437610160384"	"0.00945193530975744"	"0.0241863521564173"
"ENSG00000183154"	"0.527732793522267"	"0.000665229203449402"	"0.00267281633859271"
"ENSG00000183242"	"0.132793522267206"	"0.418905703577508"	"0.54097170852842"
"ENSG00000183250"	"0.484008097165992"	"0.00202263767283511"	"0.00659255142143549"
"ENSG00000183308"	"0.284615384615385"	"0.0793155302237054"	"0.146792171290268"
"ENSG00000183385"	"0.624493927125506"	"3.22438502293079e-05"	"0.000279486583063686"
"ENSG00000183470"	"-0.154526260551135"	"0.347588408161035"	"0.469942424739077"
"ENSG00000183535"	"0.351214574898785"	"0.0289361878595162"	"0.0627797295809695"
"ENSG00000183562"	"0.220647773279352"	"0.176533551595317"	"0.279221596944045"
"ENSG00000183643"	"-0.216206272699408"	"0.186175752446788"	"0.290441136446973"
"ENSG00000183674"	"0.206581857593557"	"0.207023566733785"	"0.316207043213104"
"ENSG00000183784"	"0.655060728744939"	"1.02551261914526e-05"	"0.000135881876252032"
"ENSG00000183822"	"-0.0900991674314249"	"0.585427626162017"	"0.693347665136114"
"ENSG00000184029"			
"ENSG00000184068"	"0.609716599190283"	"5.42573047228728e-05"	"0.000398569383121481"
"ENSG00000184224"	"0.559514170040486"	"0.000270422798912417"	"0.0013141411655074"
"ENSG00000184274"	"0.61336032388664"	"4.78227031530688e-05"	"0.000366755858718216"
"ENSG00000184385"	"0.074801356439741"	"0.650857793296534"	"0.748193398524041"
"ENSG00000184441"	"0.659514170040486"	"8.61896371052219e-06"	"0.000122917577703174"
"ENSG00000184566"	"-0.0898215416910787"	"0.58658856488773"	"0.69444095255308"
"ENSG00000184608"	"0.0582278555651799"	"0.724762631555369"	"0.805655629742493"
"ENSG00000184809"	"0.513967611336032"	"0.000958262951411137"	"0.0035833236025235"
"ENSG00000184856"	"0.111133603238866"	"0.499227940475539"	"0.615667019824126"
"ENSG00000184991"	"-0.0648890268068715"	"0.694717248595697"	"0.782965828323806"
"ENSG00000185065"	"0.356882591093117"	"0.0263172141550431"	"0.0579043159707833"
"ENSG00000185168"	"0.686842105263158"	"2.90570904081081e-06"	"7.08531974878294e-05"
"ENSG00000185186"	"0.409109311740891"	"0.010203184451575"	"0.0257950637217307"
"ENSG00000185203"	"-0.148292942254422"	"0.367612820586186"	"0.490626491966709"
"ENSG00000185332"	"0.590688259109312"	"0.00010263147362338"	"0.000630415783287446"
