""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ACSL1"	5452.20749076219	-1.40221396278549	0.157595849665215	-8.8975310312058	5.71027248523469e-19	1.76481662918866e-17
"ACSL3"	1991.30056641396	-0.468760410946786	0.0977573128901947	-4.79514419011617	1.62557861885878e-06	8.04728937773053e-06
"ACSL4"	2639.06371971857	-0.388014558648108	0.130407858800724	-2.97539245116379	0.00292613934394011	0.00750484884325407
"ACSL5"	2697.14350319	-0.0733159532334367	0.129385793202888	-0.566646085466823	0.570954657524904	0.698949371788046
"ACSL6"	48.323482059951	0.491798663799025	0.175919887263316	2.79558310006705	0.00518061811774886	0.012599057121203
"ACSM1"	30.5130111440579	0.0438329514864836	0.198283921794805	0.221061551989295	0.825044506721215	0.907258733560167
"ACSM2A"	6.28230450427586	1.99479022996947	0.379609374899238	5.25484975311518	1.48145361392005e-07	8.88359715844073e-07
"ACSM2B"	8.08014017181621	1.57088781221726	0.408168918448922	3.84862183575067	0.000118784215039301	0.000405430505612373
"ACSM3"	340.417041694145	-1.01698754199863	0.143341622664779	-7.09485160759603	1.29490352832802e-12	1.70175846875859e-11
"ACSM4"	0.0737637932774367	0.389385275389067	3.06038613695972	0.127234034518237	0.898755168623946	0.947813604753085
"ACSM5"	106.955513715479	-0.568657435640957	0.215323041770266	-2.64095022513974	0.00826738645017494	0.0191439941977396
"ACSM6"	1.02136687119432	1.86584283796694	1.01115839414762	1.8452527801441	0.0650007759367219	0.116498871572891
"ACSS1"	1735.6040937317	-0.434770328971496	0.0917281291838964	-4.73977102596162	2.13959867713136e-06	1.03843235363242e-05
"ACSS2"	3163.14698404417	-1.05868001150549	0.101453494291113	-10.4351261521628	1.71385955858839e-25	1.18411550444645e-23
"ACSS3"	972.142981014446	-0.637541107388913	0.125326035639182	-5.08706035531528	3.63656130758086e-07	2.0347883677893e-06
"ACTA1"	9.48138595194298	0.707538973473899	0.259010323699275	2.73170182318829	0.00630081366710987	0.0150206545590847
"ACTA2"	25028.3301377098	1.12435179706839	0.18971704998407	5.92646679443308	3.09521937855765e-09	2.42991923959308e-08
"ACTB"	79401.4271353425	0.0478941660766055	0.0907482160102452	0.527769780853856	0.597659133715758	0.723190686009632
"ACTBL2"	5.66276218083398	3.32995692112036	0.526906943444879	6.3198197756692	2.61868526794984e-10	2.4135190611182e-09
"ACTC1"	46.2323797864714	1.84423129042152	0.356983490833288	5.16615288319532	2.38961356188797e-07	1.38334975748761e-06
"ACTG1"	48576.6704326143	0.0189661534032529	0.0914312459774035	0.207436234741242	0.835669186729078	0.914197448324065
"ACTG2"	6355.83862266931	2.09553787518432	0.237718832901603	8.81519503358702	1.19476891758271e-18	3.49433259039641e-17
"ACTL6A"	891.995704375123	-0.230802984341778	0.0589619490850033	-3.91443953131599	9.06144420464464e-05	0.000316934481911901
"ACTL6B"	0.149465492695738	0.174929064775325	1.68396886631432	0.103879037359039	0.917265342858406	0.956333123180259
"ACTL7A"	0.0737637932774367	0.389385275389067	3.06038613695972	0.127234034518237	0.898755168623946	0.947813604753085
"ACTL7B"	2.03988798393736	0.781793489288986	0.483836536491993	1.61582152302366	0.10613290671848	0.177295096332618
"ACTL8"	0.0368818966387183	0.272411455085366	3.06038613695972	0.0890121190249502	0.92907227876406	0.957854900528533
"ACTL9"	0					
"ACTN1"	6764.65192928549	0.557320460547401	0.105169678814582	5.29925038118619	1.1627908711197e-07	7.10332658201852e-07
"ACTN2"	277.890601226968	0.379970584264673	0.200308844510575	1.89692364904343	0.0578380157129398	0.105572233333019
"ACTN3"	11.4672763454083	1.32331615137389	0.322896156908267	4.0982716054742	4.16246682649468e-05	0.000156125255535852
"ACTN4"	11984.831469752	-0.394860828293839	0.0879555539615023	-4.48932228278237	7.14501284016596e-06	3.12701311441187e-05
"ACTR10"	1417.2348057466	-0.222917513177191	0.0536095889031203	-4.1581649428432	3.20814351891952e-05	0.00012323950193851
"ACTR1A"	3682.05487625401	-0.125995196413049	0.0586356193222659	-2.14878256372751	0.0316516402099424	0.0625650593099815
"ACTR1B"	1937.59376417801	-0.137552487517415	0.0362822640580073	-3.79117706925618	0.000149935007725477	0.0005018624999679
"ACTR2"	4432.93237370863	-0.0566496383693921	0.0886342627930497	-0.639139273958448	0.522732332582732	0.653895490030183
